category,id,store
apparel,56d1cc31480cf02f0f888dba,
fastFood,56d1cc31480cf02f0f888dbb,checkers rallys
fastFood,56d1cc31480cf02f0f888dbc,white castle
apparelOnline,56d1cc31480cf02f0f888dbd,Haband.com
fastFood,56d1cc31480cf02f0f888dbe,tutti frutti
fastFood,56d1cc31480cf02f0f888dbf,godfathers pizza
apparel,56d1cc31480cf02f0f888dc0,
fastFood,56d1cc31480cf02f0f888dc1,wendys
homeGoodsOnline,56d1cc31480cf02f0f888dc2,potterybarn.com
homeGoodsOnline,56d1cc31480cf02f0f888dc3,homedecorators.com
electronicsOnline,56d1cc31480cf02f0f888dc4,mobikwik.com
sportingGoodsOnline,56d1cc31480cf02f0f888dc5,sportsauthority.com
apparelOnline,56d1cc31480cf02f0f888dc6,6pm.com
sportingGoodsOnline,56d1cc31480cf02f0f888dc7,summitracing.com
generalMerchandiseOnline,56d1cc31480cf02f0f888dc8,Amazon.com
sportingGoodsOnline,56d1cc31480cf02f0f888dc9,Dickssportinggoods.com
fastFood,56d1cc31480cf02f0f888dca,marble slab creamery
apparel,56d1cc32480cf02f0f888dcb,
apparel,56d1cc32480cf02f0f888dcc,
fastFood,56d1cc32480cf02f0f888dcd,papa murphys
homeGoodsOnline,56d1cc32480cf02f0f888dce,westelm.com
fastFood,56d1cc32480cf02f0f888dcf,cold stone creamery
apparelOnline,56d1cc32480cf02f0f888dd0,BananaRepublic.com
hardware,56d1cc32480cf02f0f888dd1,HomeDepot.com
electronicsOnline,56d1cc32480cf02f0f888dd2,Parts-express.com
apparelOnline,56d1cc32480cf02f0f888dd3,Forever21.com
apparelOnline,56d1cc32480cf02f0f888dd4,OldNavy.com
fastFood,56d1cc32480cf02f0f888dd5,dairy queen
fastFood,56d1cc32480cf02f0f888dd6,donatos pizza
fastFood,56d1cc32480cf02f0f888dd7,mountain mikes pizza
fastFood,56d1cc32480cf02f0f888dd8,blimpie
apparel,56d1cc32480cf02f0f888dd9,
electronicsOnline,56d1cc32480cf02f0f888dda,hhgregg.com
fastFood,56d1cc32480cf02f0f888ddb,braums
apparel,56d1cc32480cf02f0f888ddc,
fastFood,56d1cc32480cf02f0f888ddd,zoup
fastFood,56d1cc32480cf02f0f888dde,firehouse subs
fastFood,56d1cc32480cf02f0f888ddf,waba grill
fastFood,56d1cc33480cf02f0f888de0,golden chick
apparel,56d1cc33480cf02f0f888de1,
homeGoodsOnline,56d1cc33480cf02f0f888de2,hayneedle.com
fastFood,56d1cc33480cf02f0f888de3,pieology
apparelOnline,56d1cc33480cf02f0f888de4,Blair.com
fastFood,56d1cc33480cf02f0f888de5,hungry howies
electronicsOnline,56d1cc33480cf02f0f888de6,BestBuy.com
fastFood,56d1cc33480cf02f0f888de7,lyfe kitchen
fastFood,56d1cc33480cf02f0f888de8,planet smoothie
fastFood,56d1cc33480cf02f0f888de9,brusters
fastFood,56d1cc33480cf02f0f888dea,sub zero ice cream
sportingGoodsOnline,56d1cc33480cf02f0f888deb,evo.com
apparelOnline,56d1cc33480cf02f0f888dec,Hollisterco.com
fastFood,56d1cc33480cf02f0f888ded,fazolis
fastFood,56d1cc33480cf02f0f888dee,pdq
fastFood,56d1cc33480cf02f0f888def,jack in the box
apparel,56d1cc33480cf02f0f888df0,
electronicsOnline,56d1cc33480cf02f0f888df1,monoprice.com
fastFood,56d1cc33480cf02f0f888df2,primo hoagies
fastFood,56d1cc33480cf02f0f888df3,ben jerrys
apparelOnline,56d1cc33480cf02f0f888df4,Aeropostale.com
homeGoodsOnline,56d1cc33480cf02f0f888df5,lowes.com
fastFood,56d1cc33480cf02f0f888df6,popeyes
fastFood,56d1cc34480cf02f0f888df7,saladworks
sportingGoodsOnline,56d1cc34480cf02f0f888df8,performancebike.com
electronicsOnline,56d1cc34480cf02f0f888df9,sony.com
apparelOnline,56d1cc34480cf02f0f888dfa,ralphlauren.com
apparel,56d1cc34480cf02f0f888dfb,
fastFood,56d1cc34480cf02f0f888dfc,corner bakery
fastFood,56d1cc34480cf02f0f888dfd,taco johns
fastFood,56d1cc34480cf02f0f888dfe,jets pizza
apparelOnline,56d1cc34480cf02f0f888dff,Gap.com
electronicsOnline,56d1cc34480cf02f0f888e00,cricketwireless.com
apparel,56d1cc34480cf02f0f888e01,
fastFood,56d1cc34480cf02f0f888e02,pizza inn
fastFood,56d1cc34480cf02f0f888e03,jersey mikes subs
apparel,56d1cc34480cf02f0f888e04,
fastFood,56d1cc34480cf02f0f888e05,kfc
fastFood,56d1cc34480cf02f0f888e06,wienerschnitzel
electronicsOnline,56d1cc34480cf02f0f888e07,Sky.com
fastFood,56d1cc34480cf02f0f888e08,the habit burger
generalMerchandiseOnline,56d1cc34480cf02f0f888e09,TJMaxx.com
fastFood,56d1cc34480cf02f0f888e0a,capriottis
generalMerchandiseOnline,56d1cc35480cf02f0f888e0b,Meijer.com
fastFood,56d1cc35480cf02f0f888e0c,which wich
fastFood,56d1cc35480cf02f0f888e0d,taco time
sportingGoodsOnline,56d1cc35480cf02f0f888e0e,Nike.com
fastFood,56d1cc35480cf02f0f888e0f,philly connection
homeGoodsOnline,56d1cc35480cf02f0f888e10,pbteen.com
fastFood,56d1cc35480cf02f0f888e11,smashburger
fastFood,56d1cc35480cf02f0f888e12,tropical smoothie
homeGoodsOnline,56d1cc35480cf02f0f888e13,lampsplus.com
fastFood,56d1cc35480cf02f0f888e14,dunkin donuts
apparel,56d1cc35480cf02f0f888e15,
fastFood,56d1cc35480cf02f0f888e16,elevation burger
apparelOnline,56d1cc35480cf02f0f888e17,Nordstrom.com
fastFood,56d1cc35480cf02f0f888e18,churchs chicken
fastFood,56d1cc35480cf02f0f888e19,del taco
fastFood,56d1cc35480cf02f0f888e1a,jasons deli
electronicsOnline,56d1cc35480cf02f0f888e1b,Apple.com
fastFood,56d1cc35480cf02f0f888e1c,krystal
apparel,56d1cc35480cf02f0f888e1d,
fastFood,56d1cc35480cf02f0f888e1e,yogurtland
apparelOnline,56d1cc35480cf02f0f888e1f,yoox.com
sportingGoodsOnline,56d1cc35480cf02f0f888e20,nflshop.com
fastFood,56d1cc36480cf02f0f888e21,zaxbys
fastFood,56d1cc36480cf02f0f888e22,lions choice
fastFood,56d1cc36480cf02f0f888e23,peter piper pizza
fastFood,56d1cc36480cf02f0f888e24,pancheros
fastFood,56d1cc36480cf02f0f888e25,robeks
fastFood,56d1cc36480cf02f0f888e26,taco bell
sportingGoodsOnline,56d1cc36480cf02f0f888e27,oakley.com
fastFood,56d1cc36480cf02f0f888e28,togos
fastFood,56d1cc36480cf02f0f888e29,hardees carls jr
fastFood,56d1cc36480cf02f0f888e2a,pollo tropical
fastFood,56d1cc36480cf02f0f888e2b,schlotzskys
homeGoodsOnline,56d1cc36480cf02f0f888e2c,keurig.com
sportingGoodsOnline,56d1cc36480cf02f0f888e2d,reebok.com
electronicsOnline,56d1cc36480cf02f0f888e2e,Directtv.com
fastFood,56d1cc36480cf02f0f888e2f,mooyah
electronicsOnline,56d1cc36480cf02f0f888e30,micromaxinfo.com
fastFood,56d1cc36480cf02f0f888e31,toppers pizza
fastFood,56d1cc36480cf02f0f888e32,cherry berry
fastFood,56d1cc36480cf02f0f888e33,shake shack
apparelOnline,56d1cc36480cf02f0f888e34,Dillards.com
fastFood,56d1cc36480cf02f0f888e35,freebirds
homeGoodsOnline,56d1cc36480cf02f0f888e36,builddirect.com
generalMerchandiseOnline,56d1cc36480cf02f0f888e37,Target.com
fastFood,56d1cc37480cf02f0f888e38,au bon pain
homeGoodsOnline,56d1cc37480cf02f0f888e39,repairclinic.com
fastFood,56d1cc37480cf02f0f888e3a,chicken salad chick
apparelOnline,56d1cc37480cf02f0f888e3b,LaneBryant.com
fastFood,56d1cc37480cf02f0f888e3c,arbys
apparel,56d1cc37480cf02f0f888e3d,
fastFood,56d1cc37480cf02f0f888e3e,hopdoddy
fastFood,56d1cc37480cf02f0f888e3f,pizzarev
fastFood,56d1cc37480cf02f0f888e40,burger king
electronicsOnline,56d1cc37480cf02f0f888e41,abt.com
apparel,56d1cc37480cf02f0f888e42,
sportingGoodsOnline,56d1cc37480cf02f0f888e43,polar.com
apparel,56d1cc37480cf02f0f888e44,
apparel,56d1cc37480cf02f0f888e45,
fastFood,56d1cc37480cf02f0f888e46,freshii
apparel,56d1cc37480cf02f0f888e47,
fastFood,56d1cc37480cf02f0f888e48,zoes kitchen
fastFood,56d1cc38480cf02f0f888e49,orange leaf
electronicsOnline,56d1cc38480cf02f0f888e4a,bose.com
fastFood,56d1cc38480cf02f0f888e4b,taco casa
fastFood,56d1cc38480cf02f0f888e4c,baja fresh
apparelOnline,56d1cc38480cf02f0f888e4d,Hm.com
homeGoodsOnline,56d1cc38480cf02f0f888e4e,uncommongoods.com
apparelOnline,56d1cc38480cf02f0f888e4f,shoebuy.com
fastFood,56d1cc38480cf02f0f888e50,sweet frog
apparelOnline,56d1cc38480cf02f0f888e51,KingSizeDirect.com
apparelOnline,56d1cc38480cf02f0f888e52,Express.com
homeGoodsOnline,56d1cc38480cf02f0f888e53,acehardware.com
fastFood,56d1cc38480cf02f0f888e54,farmer boys
apparel,56d1cc38480cf02f0f888e55,
apparelOnline,56d1cc38480cf02f0f888e56,jcrew.com
fastFood,56d1cc38480cf02f0f888e57,cafe rio
fastFood,56d1cc38480cf02f0f888e58,freddys
fastFood,56d1cc38480cf02f0f888e59,panda express
fastFood,56d1cc38480cf02f0f888e5a,johnny rockets
fastFood,56d1cc38480cf02f0f888e5b,steak n shake
fastFood,56d1cc38480cf02f0f888e5c,brueggers bagels
electronicsOnline,56d1cc38480cf02f0f888e5d,swappa.com
electronicsOnline,56d1cc38480cf02f0f888e5e,sony.com.uk
apparel,56d1cc39480cf02f0f888e5f,
apparelOnline,56d1cc39480cf02f0f888e60,dsw.com
generalMerchandiseOnline,56d1cc39480cf02f0f888e61,Kmart.com
apparelOnline,56d1cc39480cf02f0f888e62,LandsEnd.com
fastFood,56d1cc39480cf02f0f888e63,carvel
fastFood,56d1cc39480cf02f0f888e64,imos
apparel,56d1cc39480cf02f0f888e65,
apparelOnline,56d1cc39480cf02f0f888e66,AE.com/American Eagle
fastFood,56d1cc39480cf02f0f888e67,sbarro
generalMerchandiseOnline,56d1cc39480cf02f0f888e68,Walmart.com
electronicsOnline,56d1cc39480cf02f0f888e69,gazelle.com
sportingGoodsOnline,56d1cc39480cf02f0f888e6a,Tennis-warehouse.com
fastFood,56d1cc39480cf02f0f888e6b,cookout
fastFood,56d1cc39480cf02f0f888e6c,five guys
apparelOnline,56d1cc39480cf02f0f888e6d,ColdwaterCreek.com
fastFood,56d1cc39480cf02f0f888e6e,panera bread
homeGoodsOnline,56d1cc39480cf02f0f888e6f,homedepot.com
fastFood,56d1cc39480cf02f0f888e70,marcos pizza
fastFood,56d1cc39480cf02f0f888e71,tim hortons
electronicsOnline,56d1cc39480cf02f0f888e72,vodafone.ie
fastFood,56d1cc3a480cf02f0f888e73,taco cabana
apparelOnline,56d1cc3a480cf02f0f888e74,JCPenney.com
